codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,orig_latitude,orig_longitude,dest_latitude,dest_longitude
9655,53203,PRMHV,4834,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,2.0,77000.0,184.0,2008.0,BRASIL,TPR,REGULAR,SBBR,SBAR,POUSO,REGULAR,LEVE,,2016-07-30,-15.87174755,-47.91172169662855,49.5453722,10.2298193
9663,46859,PREJB,1821,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,758.0,2.0,1982.0,BRASIL,PRI,INSTRUÇÃO,SBLO,SBLO,SUBIDA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.331887549999998,-51.1346212481326,-23.331887549999998,-51.1346212481326
9668,50804,PTOMX,3992,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,1.0,1724.0,6.0,1980.0,BRASIL,TPP,PARTICULAR,SJQZ,SIHJ,CRUZEIRO,PRIVADA,SUBSTANCIAL,3.0,2016-07-30,,,-10.442396299999999,-62.4483209
9668,34536,PTOMX,3992,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,1.0,1724.0,6.0,1980.0,BRASIL,TPP,PARTICULAR,SBPN,SWFQ,CRUZEIRO,PRIVADA,SUBSTANCIAL,,2016-07-30,,,,
9669,34537,PTPMC,3992,AVIÃO,AEROMOT,AMT-100,PISTÃO,1.0,800.0,2.0,1988.0,BRASIL,TPP,PARTICULAR,SBRP,SBRP,POUSO,PRIVADA,LEVE,,2016-07-30,-21.13330235,-47.77468310119474,-21.13330235,-47.77468310119474
9672,34540,PPGQF,148,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,2.0,1993.0,BRASIL,PRI,INSTRUÇÃO,SSCE,SSCE,SUBIDA,INSTRUÇÃO,DESTRUÍDA,,2016-07-30,-6.0110198,-35.2911151,-6.0110198,-35.2911151
9682,38475,PTRHL,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711T,PISTÃO,1.0,1247.0,4.0,1980.0,BRASIL,TPP,PARTICULAR,SSIE,SSDO,SUBIDA,PRIVADA,SUBSTANCIAL,,2016-07-30,-20.607422800000002,-54.59711097081455,-16.7535966,-39.31605367550041
9687,34646,PRJTR,2361,AVIÃO,AEROMOT,AMT-600,PISTÃO,1.0,900.0,2.0,2008.0,BRASIL,PRI,INSTRUÇÃO,SBPA,SSBN,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,,2016-07-30,-29.995268449999998,-51.16639779619565,-30.189228200000002,-51.18373455857473
9688,52551,PRJFS,5331,AVIÃO,AEROMOT,AMT-600,PISTÃO,1.0,900.0,2.0,2006.0,BRASIL,PRI,INSTRUÇÃO,SBJC,SBJC,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,,2016-07-30,-1.4158724999999999,-48.45973894946931,-1.4158724999999999,-48.45973894946931
9695,50952,PRVPI,4829,AVIÃO,CESSNA AIRCRAFT,T210L,PISTÃO,1.0,1724.0,6.0,1975.0,BRASIL,TPX,TÁXI AÉREO,SWGN,SWGN,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,1.0,2016-07-30,-7.2280456,-48.24099228052751,-7.2280456,-48.24099228052751
9698,40572,PTWQP,1032,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,757.0,2.0,1982.0,BRASIL,PRI,INSTRUÇÃO,SBPA,SBPA,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-29.995268449999998,-51.16639779619565,-29.995268449999998,-51.16639779619565
9703,53423,PTKKL,3992,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,1.0,1338.0,4.0,1974.0,BRASIL,TPP,PARTICULAR,SNJD,SNAU,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,37.7935816,57.5568422,50.8816858,34.7803017
9718,34739,PRGIF,2327,AVIÃO,BOEING COMPANY,737-73S,JATO,2.0,68038.0,154.0,1998.0,BRASIL,TPR,REGULAR,SBSP,SBFL,POUSO,REGULAR,LEVE,,2016-07-30,-23.6256872,-46.6612303,-27.670113450000002,-48.54468648648172
9724,34775,PPGIV,227,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,2.0,1992.0,BRASIL,PRI,INSTRUÇÃO,SSNG,SSNG,POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-29.7198571,-51.48996746113958,-29.7198571,-51.48996746113958
